id,title,slug,posts,replies,highest_post_number,created_at,last_posted_at,bumped,bumped_at,unseen,pinned,visible,closed,archived,views,like_count,has_summary,category_id,pinned_globally,featured_link,has_accepted_answer
25772,Bnz money tracker,bnz-money-tracker,5,0,6,2017-03-21T03:27:35.011Z,2017-12-15T02:21:11.985Z,True,2017-12-15T02:21:11.985Z,False,False,True,False,False,3708,8,False,13,False,,False
28857,Stay ahead of the fraudsters this festive season,stay-ahead-of-the-fraudsters-this-festive-season,2,0,2,2017-12-13T02:22:24.599Z,2017-12-13T17:49:29.347Z,True,2017-12-13T17:49:29.347Z,False,False,True,False,False,1601,1,False,12,False,,False
28856,First job & being paid,first-job-being-paid,2,0,2,2017-12-12T21:44:27.717Z,2017-12-13T00:07:33.267Z,True,2017-12-13T00:07:33.267Z,False,False,True,False,False,1176,0,False,12,False,,False
28834,Mobile App - KiwiSaver Account,mobile-app-kiwisaver-account,6,1,6,2017-12-05T16:58:10.602Z,2017-12-12T00:30:43.994Z,True,2017-12-12T00:30:43.994Z,False,False,True,False,False,1460,5,False,13,False,,False
28840,Mobile netguard,mobile-netguard,2,0,2,2017-12-07T10:04:44.466Z,2017-12-11T19:48:26.463Z,True,2017-12-11T19:48:26.463Z,False,False,True,False,False,1341,4,False,13,False,,False
28846,iPhone X optimised app,iphone-x-optimised-app,2,0,2,2017-12-10T03:17:25.321Z,2017-12-11T19:43:36.347Z,True,2017-12-11T19:43:36.347Z,False,False,True,False,False,1157,2,False,13,False,,False
28848,Cancel transaction,cancel-transaction,2,0,2,2017-12-10T09:21:44.207Z,2017-12-11T03:17:12.492Z,True,2017-12-11T03:17:12.492Z,False,False,True,False,False,2435,0,False,12,False,,False
28829,Maths 101,maths-101,3,2,3,2017-12-04T04:50:55.807Z,2017-12-05T17:31:07.225Z,True,2017-12-08T02:08:25.484Z,False,False,True,False,False,1415,4,False,12,False,,False
28831,Why do I have to go into a branch to set a PIN on a debit card?,why-do-i-have-to-go-into-a-branch-to-set-a-pin-on-a-debit-card,2,0,2,2017-12-04T22:40:00.184Z,2017-12-05T00:54:52.033Z,True,2017-12-05T00:54:52.033Z,False,False,True,False,False,1327,2,False,12,False,,False
28813,Term Deposit...1,term-deposit-1,2,0,2,2017-11-28T07:19:47.086Z,2017-11-30T00:31:09.958Z,True,2017-11-30T00:31:09.958Z,False,False,True,False,False,1224,0,False,12,False,,False
